MunicipioNome | MunicipioCodigo | Ano | ICV
Borda da Mata | 3108305 | 2015 | 86.13920948616601
Borda da Mata | 3108305 | 2016 | 100.0
Borda da Mata | 3108305 | 2017 | 100.0
Borda da Mata | 3108305 | 2018 | 50.0
Borda da Mata | 3108305 | 2019 | 100.0
Borda da Mata | 3108305 | 2020 | 100.0
Botelhos | 3108404 | 2015 | 100.0
Botelhos | 3108404 | 2016 | 100.0
Botelhos | 3108404 | 2017 | 100.0
Botelhos | 3108404 | 2018 | 100.0
Botelhos | 3108404 | 2019 | 100.0
Botelhos | 3108404 | 2020 | 100.0
Botumirim | 3108503 | 2015 | 100.0
Botumirim | 3108503 | 2016 | 100.0
Botumirim | 3108503 | 2017 | 100.0
Botumirim | 3108503 | 2018 | 90.75262987012987
Botumirim | 3108503 | 2019 | 95.73942969334331
Botumirim | 3108503 | 2020 | 100.0
Cachoeira da Prata | 3109600 | 2015 | 75.0
Cachoeira da Prata | 3109600 | 2016 | 75.0
Cachoeira da Prata | 3109600 | 2017 | 94.00174568965517
Cachoeira da Prata | 3109600 | 2018 | 100.0
Cachoeira da Prata | 3109600 | 2019 | 95.83666417352282
Cachoeira da Prata | 3109600 | 2020 | 91.85521321070235
Cachoeira de Minas | 3109709 | 2015 | 84.6541057312253
Cachoeira de Minas | 3109709 | 2016 | 100.0
Cachoeira de Minas | 3109709 | 2017 | 100.0
Cachoeira de Minas | 3109709 | 2018 | 100.0
Cachoeira de Minas | 3109709 | 2019 | 100.0
Cachoeira de Minas | 3109709 | 2020 | 100.0
Caiana | 3110103 | 2015 | 100.0
Caiana | 3110103 | 2016 | 95.6854406037001
Caiana | 3110103 | 2017 | 92.36025862068965
Caiana | 3110103 | 2018 | 100.0
Caiana | 3110103 | 2019 | 100.0
Caiana | 3110103 | 2020 | 100.0
Caldas | 3110301 | 2015 | 100.0
Caldas | 3110301 | 2016 | 100.0
Caldas | 3110301 | 2017 | 100.0
Caldas | 3110301 | 2018 | 100.0
Caldas | 3110301 | 2019 | 100.0
Caldas | 3110301 | 2020 | 100.0
Camacho | 3110400 | 2015 | 100.0
Camacho | 3110400 | 2016 | 100.0
Camacho | 3110400 | 2017 | 100.0
Camacho | 3110400 | 2018 | 100.0
Camacho | 3110400 | 2019 | 98.69877711293941
Camacho | 3110400 | 2020 | 100.0
Cambuquira | 3110707 | 2015 | 75.0
Cambuquira | 3110707 | 2016 | 100.0
Cambuquira | 3110707 | 2017 | 100.0
Cambuquira | 3110707 | 2018 | 100.0
Cambuquira | 3110707 | 2019 | 100.0
Cambuquira | 3110707 | 2020 | 100.0
Campanha | 3110905 | 2015 | 74.57908596837945
Campanha | 3110905 | 2016 | 100.0
Campanha | 3110905 | 2017 | 100.0
Campanha | 3110905 | 2018 | 89.70228896103896
Campanha | 3110905 | 2019 | 100.0
Campanha | 3110905 | 2020 | 96.46410953177258
Campina Verde | 3111101 | 2015 | 95.70487648221344
Campina Verde | 3111101 | 2016 | 94.62812317429406
Campina Verde | 3111101 | 2017 | 92.79398706896552
Campina Verde | 3111101 | 2018 | 75.0
Campina Verde | 3111101 | 2019 | 83.24455310396411
Campina Verde | 3111101 | 2020 | 80.98964046822742
Campo do Meio | 3111309 | 2015 | 100.0
Campo do Meio | 3111309 | 2016 | 100.0
Campo do Meio | 3111309 | 2017 | 100.0
Campo do Meio | 3111309 | 2018 | 100.0
Campo do Meio | 3111309 | 2019 | 100.0
Campo do Meio | 3111309 | 2020 | 100.0
Campo Florido | 3111408 | 2015 | 100.0
Campo Florido | 3111408 | 2016 | 100.0
Campo Florido | 3111408 | 2017 | 100.0
Campo Florido | 3111408 | 2018 | 100.0
Campo Florido | 3111408 | 2019 | 75.0
Campo Florido | 3111408 | 2020 | 75.0
Canaã | 3111705 | 2015 | 100.0
Canaã | 3111705 | 2016 | 96.14219571567673
Canaã | 3111705 | 2017 | 100.0
Canaã | 3111705 | 2018 | 100.0
Canaã | 3111705 | 2019 | 87.5
Canaã | 3111705 | 2020 | 100.0
Cana Verde | 3111903 | 2015 | 95.26751976284585
Cana Verde | 3111903 | 2016 | 100.0
Cana Verde | 3111903 | 2017 | 100.0
Cana Verde | 3111903 | 2018 | 100.0
Cana Verde | 3111903 | 2019 | 100.0
Cana Verde | 3111903 | 2020 | 75.0
Caparaó | 3112109 | 2015 | 100.0
Caparaó | 3112109 | 2016 | 100.0
Caparaó | 3112109 | 2017 | 100.0
Caparaó | 3112109 | 2018 | 100.0
Caparaó | 3112109 | 2019 | 100.0
Caparaó | 3112109 | 2020 | 87.5
Capetinga | 3112406 | 2015 | 100.0
Capetinga | 3112406 | 2016 | 100.0
Capetinga | 3112406 | 2017 | 100.0
Capetinga | 3112406 | 2018 | 100.0
Capetinga | 3112406 | 2019 | 100.0
Capetinga | 3112406 | 2020 | 95.81869983277592
Capim Branco | 3112505 | 2015 | 75.0
Capim Branco | 3112505 | 2016 | 100.0
Capim Branco | 3112505 | 2017 | 100.0
Capim Branco | 3112505 | 2018 | 100.0
Capim Branco | 3112505 | 2019 | 85.36483171278982
Capim Branco | 3112505 | 2020 | 78.82752090301003
Caputira | 3112901 | 2015 | 100.0
Caputira | 3112901 | 2016 | 75.0
Caputira | 3112901 | 2017 | 100.0
Caputira | 3112901 | 2018 | 100.0
Caputira | 3112901 | 2019 | 75.60522999252058
Caputira | 3112901 | 2020 | 96.80869983277591
Caranaíba | 3113107 | 2015 | 75.0
Caranaíba | 3113107 | 2016 | 72.94922103213243
Caranaíba | 3113107 | 2017 | 75.0
Caranaíba | 3113107 | 2018 | 75.0
Caranaíba | 3113107 | 2019 | 98.42471952131638
Caranaíba | 3113107 | 2020 | 100.0
Careaçu | 3113602 | 2015 | 100.0
Careaçu | 3113602 | 2016 | 100.0
Careaçu | 3113602 | 2017 | 100.0
Careaçu | 3113602 | 2018 | 100.0
Careaçu | 3113602 | 2019 | 100.0
Careaçu | 3113602 | 2020 | 100.0
Carlos Chagas | 3113701 | 2015 | 100.0
