MunicipioNome | MunicipioCodigo | Ano | ies
Bonito de Minas | 3108255 | 2015 | ?
Bonito de Minas | 3108255 | 2016 | ?
Bonito de Minas | 3108255 | 2017 | ?
Bonito de Minas | 3108255 | 2018 | ?
Bonito de Minas | 3108255 | 2019 | ?
Bonito de Minas | 3108255 | 2020 | ?
Borda da Mata | 3108305 | 2015 | 94.17666666666666
Borda da Mata | 3108305 | 2016 | 94.30333333333333
Borda da Mata | 3108305 | 2017 | 94.31333333333333
Borda da Mata | 3108305 | 2018 | 94.41666666666667
Borda da Mata | 3108305 | 2019 | 94.61333333333334
Borda da Mata | 3108305 | 2020 | 94.91666666666667
Botelhos | 3108404 | 2015 | 55.98
Botelhos | 3108404 | 2016 | 55.906666666666666
Botelhos | 3108404 | 2017 | 56.21
Botelhos | 3108404 | 2018 | 56.63666666666666
Botelhos | 3108404 | 2019 | 23.25
Botelhos | 3108404 | 2020 | 23.5
Botumirim | 3108503 | 2015 | 83.99333333333333
Botumirim | 3108503 | 2016 | 66.66666666666667
Botumirim | 3108503 | 2017 | 100.0
Botumirim | 3108503 | 2018 | 66.66666666666667
Botumirim | 3108503 | 2019 | 57.223333333333336
Botumirim | 3108503 | 2020 | 66.66666666666667
Cachoeira da Prata | 3109600 | 2015 | 100.0
Cachoeira da Prata | 3109600 | 2016 | 100.0
Cachoeira da Prata | 3109600 | 2017 | 100.0
Cachoeira da Prata | 3109600 | 2018 | 100.0
Cachoeira da Prata | 3109600 | 2019 | 66.66666666666667
Cachoeira da Prata | 3109600 | 2020 | 66.66666666666667
Cachoeira de Minas | 3109709 | 2015 | 33.333333333333336
Cachoeira de Minas | 3109709 | 2016 | 33.333333333333336
Cachoeira de Minas | 3109709 | 2017 | 33.333333333333336
Cachoeira de Minas | 3109709 | 2018 | 33.333333333333336
Cachoeira de Minas | 3109709 | 2019 | 33.333333333333336
Cachoeira de Minas | 3109709 | 2020 | 33.333333333333336
Caiana | 3110103 | 2015 | 33.333333333333336
Caiana | 3110103 | 2016 | ?
Caiana | 3110103 | 2017 | ?
Caiana | 3110103 | 2018 | ?
Caiana | 3110103 | 2019 | 33.333333333333336
Caiana | 3110103 | 2020 | 33.333333333333336
Caldas | 3110301 | 2015 | 21.833333333333332
Caldas | 3110301 | 2016 | 22.01
Caldas | 3110301 | 2017 | 21.843333333333334
Caldas | 3110301 | 2018 | 22.063333333333333
Caldas | 3110301 | 2019 | 21.786666666666665
Caldas | 3110301 | 2020 | 21.683333333333334
Camacho | 3110400 | 2015 | ?
Camacho | 3110400 | 2016 | ?
Camacho | 3110400 | 2017 | ?
Camacho | 3110400 | 2018 | ?
Camacho | 3110400 | 2019 | ?
Camacho | 3110400 | 2020 | 33.333333333333336
Cambuquira | 3110707 | 2015 | 59.370000000000005
Cambuquira | 3110707 | 2016 | 58.40333333333333
Cambuquira | 3110707 | 2017 | 58.169999999999995
Cambuquira | 3110707 | 2018 | ?
Cambuquira | 3110707 | 2019 | NaN
Cambuquira | 3110707 | 2020 | NaN
Campanha | 3110905 | 2015 | 33.333333333333336
Campanha | 3110905 | 2016 | 33.333333333333336
Campanha | 3110905 | 2017 | 33.333333333333336
Campanha | 3110905 | 2018 | 33.333333333333336
Campanha | 3110905 | 2019 | 33.333333333333336
Campanha | 3110905 | 2020 | 33.333333333333336
Campina Verde | 3111101 | 2015 | 66.66666666666667
Campina Verde | 3111101 | 2016 | 66.66666666666667
Campina Verde | 3111101 | 2017 | 100.0
Campina Verde | 3111101 | 2018 | 100.0
Campina Verde | 3111101 | 2019 | 100.0
Campina Verde | 3111101 | 2020 | 100.0
Campo do Meio | 3111309 | 2015 | 66.66666666666667
Campo do Meio | 3111309 | 2016 | 66.66666666666667
Campo do Meio | 3111309 | 2017 | 66.66666666666667
Campo do Meio | 3111309 | 2018 | 33.333333333333336
Campo do Meio | 3111309 | 2019 | 33.333333333333336
Campo do Meio | 3111309 | 2020 | 33.333333333333336
Campo Florido | 3111408 | 2015 | 33.333333333333336
Campo Florido | 3111408 | 2016 | 33.333333333333336
Campo Florido | 3111408 | 2017 | 33.333333333333336
Campo Florido | 3111408 | 2018 | 33.333333333333336
Campo Florido | 3111408 | 2019 | 33.333333333333336
Campo Florido | 3111408 | 2020 | 33.333333333333336
Canaã | 3111705 | 2015 | ?
Canaã | 3111705 | 2016 | ?
Canaã | 3111705 | 2017 | 66.66666666666667
Canaã | 3111705 | 2018 | 66.66666666666667
Canaã | 3111705 | 2019 | 33.333333333333336
Canaã | 3111705 | 2020 | 33.333333333333336
Cana Verde | 3111903 | 2015 | ?
Cana Verde | 3111903 | 2016 | ?
Cana Verde | 3111903 | 2017 | ?
Cana Verde | 3111903 | 2018 | ?
Cana Verde | 3111903 | 2019 | 100.0
Cana Verde | 3111903 | 2020 | 100.0
Caparaó | 3112109 | 2015 | ?
Caparaó | 3112109 | 2016 | ?
Caparaó | 3112109 | 2017 | ?
Caparaó | 3112109 | 2018 | 33.333333333333336
Caparaó | 3112109 | 2019 | 33.333333333333336
Caparaó | 3112109 | 2020 | 33.333333333333336
Capetinga | 3112406 | 2015 | 66.66666666666667
Capetinga | 3112406 | 2016 | 66.66666666666667
Capetinga | 3112406 | 2017 | 66.66666666666667
Capetinga | 3112406 | 2018 | 66.66666666666667
Capetinga | 3112406 | 2019 | 66.66666666666667
Capetinga | 3112406 | 2020 | 66.66666666666667
Capim Branco | 3112505 | 2015 | 33.333333333333336
Capim Branco | 3112505 | 2016 | 33.333333333333336
Capim Branco | 3112505 | 2017 | 33.333333333333336
Capim Branco | 3112505 | 2018 | 33.333333333333336
Capim Branco | 3112505 | 2019 | 33.333333333333336
Capim Branco | 3112505 | 2020 | 33.333333333333336
Caputira | 3112901 | 2015 | ?
Caputira | 3112901 | 2016 | 33.333333333333336
Caputira | 3112901 | 2017 | 16.89
Caputira | 3112901 | 2018 | 17.150000000000002
Caputira | 3112901 | 2019 | 17.133333333333333
Caputira | 3112901 | 2020 | 17.116666666666667
Caranaíba | 3113107 | 2015 | ?
Caranaíba | 3113107 | 2016 | 33.333333333333336
Caranaíba | 3113107 | 2017 | 33.333333333333336
Caranaíba | 3113107 | 2018 | 33.333333333333336
Caranaíba | 3113107 | 2019 | 0.0
Caranaíba | 3113107 | 2020 | 0.0
Careaçu | 3113602 | 2015 | 33.333333333333336
Careaçu | 3113602 | 2016 | 33.333333333333336
Careaçu | 3113602 | 2017 | 33.333333333333336
Careaçu | 3113602 | 2018 | 33.333333333333336
Careaçu | 3113602 | 2019 | 33.333333333333336
Careaçu | 3113602 | 2020 | 33.333333333333336
Carlos Chagas | 3113701 | 2015 | 57.93000000000001
Carlos Chagas | 3113701 | 2016 | 57.93666666666667
Carlos Chagas | 3113701 | 2017 | 57.78
Carlos Chagas | 3113701 | 2018 | 61.406666666666666
Carlos Chagas | 3113701 | 2019 | 92.32
Carlos Chagas | 3113701 | 2020 | 92.55666666666667
Carmo da Cachoeira | 3113909 | 2015 | 27.916666666666668
Carmo da Cachoeira | 3113909 | 2016 | 61.05666666666667
Carmo da Cachoeira | 3113909 | 2017 | 27.893333333333334
Carmo da Cachoeira | 3113909 | 2018 | 28.293333333333333
Carmo da Cachoeira | 3113909 | 2019 | 27.939999999999998
Carmo da Cachoeira | 3113909 | 2020 | 28.150000000000002
Carmo de Minas | 3114105 | 2015 | 33.333333333333336
Carmo de Minas | 3114105 | 2016 | 33.333333333333336
Carmo de Minas | 3114105 | 2017 | 33.333333333333336
Carmo de Minas | 3114105 | 2018 | 33.333333333333336
Carmo de Minas | 3114105 | 2019 | 33.333333333333336
Carmo de Minas | 3114105 | 2020 | 33.333333333333336
Carneirinho | 3114550 | 2015 | 60.919999999999995
Carneirinho | 3114550 | 2016 | 61.27333333333333
Carneirinho | 3114550 | 2017 | 60.93333333333334
Carneirinho | 3114550 | 2018 | 61.00666666666666
Carneirinho | 3114550 | 2019 | 60.93666666666667
Carneirinho | 3114550 | 2020 | 61.31
Carrancas | 3114600 | 2015 | ?
Carrancas | 3114600 | 2016 | 66.66666666666667
Carrancas | 3114600 | 2017 | ?
Carrancas | 3114600 | 2018 | ?
Carrancas | 3114600 | 2019 | ?
Carrancas | 3114600 | 2020 | ?
Carvalhópolis | 3114709 | 2015 | 33.333333333333336
Carvalhópolis | 3114709 | 2016 | 66.66666666666667
Carvalhópolis | 3114709 | 2017 | 66.66666666666667
Carvalhópolis | 3114709 | 2018 | 66.66666666666667
Carvalhópolis | 3114709 | 2019 | 66.66666666666667
Carvalhópolis | 3114709 | 2020 | 66.66666666666667
Carvalhos | 3114808 | 2015 | 54.156666666666666
Carvalhos | 3114808 | 2016 | 54.39333333333334
Carvalhos | 3114808 | 2017 | 54.45333333333334
Carvalhos | 3114808 | 2018 | 54.910000000000004
Carvalhos | 3114808 | 2019 | 21.49
Carvalhos | 3114808 | 2020 | 21.78
Cascalho Rico | 3115003 | 2015 | ?
Cascalho Rico | 3115003 | 2016 | 19.323333333333334
Cascalho Rico | 3115003 | 2017 | ?
Cascalho Rico | 3115003 | 2018 | ?
Cascalho Rico | 3115003 | 2019 | ?
Cascalho Rico | 3115003 | 2020 | 18.003333333333334
Conceição da Barra de Minas | 3115201 | 2015 | 51.1
Conceição da Barra de Minas | 3115201 | 2016 | 51.129999999999995
Conceição da Barra de Minas | 3115201 | 2017 | 51.846666666666664
Conceição da Barra de Minas | 3115201 | 2018 | 53.330000000000005
Conceição da Barra de Minas | 3115201 | 2019 | 86.84666666666665
Conceição da Barra de Minas | 3115201 | 2020 | 86.91666666666667
Cedro do Abaeté | 3115607 | 2015 | 50.96
Cedro do Abaeté | 3115607 | 2016 | 51.03
Cedro do Abaeté | 3115607 | 2017 | 51.096666666666664
Cedro do Abaeté | 3115607 | 2018 | 55.0
Cedro do Abaeté | 3115607 | 2019 | 55.300000000000004
Cedro do Abaeté | 3115607 | 2020 | 22.636666666666667
Chiador | 3116209 | 2015 | 75.56761904761905
Chiador | 3116209 | 2016 | 75.59714285714286
Chiador | 3116209 | 2017 | 75.62761904761905
Chiador | 3116209 | 2018 | 75.91333333333334
Chiador | 3116209 | 2019 | 79.684
Chiador | 3116209 | 2020 | 79.68366013071896
Claraval | 3116407 | 2015 | 33.333333333333336
Claraval | 3116407 | 2016 | 33.333333333333336
Claraval | 3116407 | 2017 | 33.333333333333336
Claraval | 3116407 | 2018 | 66.66666666666667
Claraval | 3116407 | 2019 | 33.333333333333336
Claraval | 3116407 | 2020 | 33.333333333333336
Claro dos Poções | 3116506 | 2015 | 33.333333333333336
Claro dos Poções | 3116506 | 2016 | 33.333333333333336
Claro dos Poções | 3116506 | 2017 | 33.333333333333336
Claro dos Poções | 3116506 | 2018 | 33.333333333333336
Claro dos Poções | 3116506 | 2019 | 66.66666666666667
Claro dos Poções | 3116506 | 2020 | 66.66666666666667
Comercinho | 3117009 | 2015 | 66.66666666666667
Comercinho | 3117009 | 2016 | 61.13666666666666
Comercinho | 3117009 | 2017 | 51.949999999999996
Comercinho | 3117009 | 2018 | 57.78
Comercinho | 3117009 | 2019 | 25.423333333333332
Comercinho | 3117009 | 2020 | 25.576666666666668
Conceição das Pedras | 3117207 | 2015 | 66.66666666666667
Conceição das Pedras | 3117207 | 2016 | 66.66666666666667
Conceição das Pedras | 3117207 | 2017 | 33.333333333333336
Conceição das Pedras | 3117207 | 2018 | 33.333333333333336
Conceição das Pedras | 3117207 | 2019 | 33.333333333333336
Conceição das Pedras | 3117207 | 2020 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2015 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2016 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2017 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2018 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2019 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2020 | 33.333333333333336
Cônego Marinho | 3117836 | 2015 | ?
Cônego Marinho | 3117836 | 2016 | ?
Cônego Marinho | 3117836 | 2017 | ?
Cônego Marinho | 3117836 | 2018 | ?
Cônego Marinho | 3117836 | 2019 | ?
Cônego Marinho | 3117836 | 2020 | ?
Congonhal | 3117900 | 2015 | 33.333333333333336
Congonhal | 3117900 | 2016 | 33.333333333333336
Congonhal | 3117900 | 2017 | 33.333333333333336
Congonhal | 3117900 | 2018 | 33.333333333333336
Congonhal | 3117900 | 2019 | 33.333333333333336
Congonhal | 3117900 | 2020 | 33.333333333333336
Cordislândia | 3119005 | 2015 | ?
Cordislândia | 3119005 | 2016 | ?
Cordislândia | 3119005 | 2017 | 66.66666666666667
Cordislândia | 3119005 | 2018 | ?
Cordislândia | 3119005 | 2019 | ?
Cordislândia | 3119005 | 2020 | 33.333333333333336
Coronel Murta | 3119500 | 2015 | 66.66666666666667
Coronel Murta | 3119500 | 2016 | 66.66666666666667
Coronel Murta | 3119500 | 2017 | 66.66666666666667
Coronel Murta | 3119500 | 2018 | 33.333333333333336
Coronel Murta | 3119500 | 2019 | 33.333333333333336
Coronel Murta | 3119500 | 2020 | 33.333333333333336
Córrego Danta | 3119807 | 2015 | ?
Córrego Danta | 3119807 | 2016 | 66.66666666666667
Córrego Danta | 3119807 | 2017 | 66.66666666666667
Córrego Danta | 3119807 | 2018 | ?
Córrego Danta | 3119807 | 2019 | 33.333333333333336
Córrego Danta | 3119807 | 2020 | 33.333333333333336
Córrego do Bom Jesus | 3119906 | 2015 | ?
Córrego do Bom Jesus | 3119906 | 2016 | ?
Córrego do Bom Jesus | 3119906 | 2017 | 33.333333333333336
Córrego do Bom Jesus | 3119906 | 2018 | 33.333333333333336
Córrego do Bom Jesus | 3119906 | 2019 | 33.333333333333336
Córrego do Bom Jesus | 3119906 | 2020 | 33.333333333333336
Crisólita | 3120151 | 2015 | 33.333333333333336
Crisólita | 3120151 | 2016 | 33.333333333333336
Crisólita | 3120151 | 2017 | 33.333333333333336
Crisólita | 3120151 | 2018 | 33.333333333333336
Crisólita | 3120151 | 2019 | 33.333333333333336
Crisólita | 3120151 | 2020 | 33.333333333333336
Cristais | 3120201 | 2015 | ?
Cristais | 3120201 | 2016 | 33.333333333333336
Cristais | 3120201 | 2017 | ?
Cristais | 3120201 | 2018 | ?
Cristais | 3120201 | 2019 | 66.66666666666667
Cristais | 3120201 | 2020 | 66.66666666666667
Cristina | 3120508 | 2015 | 66.66666666666667
Cristina | 3120508 | 2016 | 66.66666666666667
Cristina | 3120508 | 2017 | 66.66666666666667
Cristina | 3120508 | 2018 | 66.66666666666667
Cristina | 3120508 | 2019 | 33.333333333333336
Cristina | 3120508 | 2020 | 33.333333333333336
Crucilândia | 3120607 | 2015 | 33.333333333333336
Crucilândia | 3120607 | 2016 | 33.333333333333336
Crucilândia | 3120607 | 2017 | 33.333333333333336
Crucilândia | 3120607 | 2018 | 33.333333333333336
Crucilândia | 3120607 | 2019 | 33.333333333333336
Crucilândia | 3120607 | 2020 | 33.333333333333336
Cruzília | 3120805 | 2015 | 33.333333333333336
Cruzília | 3120805 | 2016 | 33.333333333333336
Cruzília | 3120805 | 2017 | 33.333333333333336
Cruzília | 3120805 | 2018 | 33.333333333333336
Cruzília | 3120805 | 2019 | 33.333333333333336
Cruzília | 3120805 | 2020 | 33.333333333333336
Curral de Dentro | 3120870 | 2015 | ?
Curral de Dentro | 3120870 | 2016 | ?
Curral de Dentro | 3120870 | 2017 | ?
Curral de Dentro | 3120870 | 2018 | ?
Curral de Dentro | 3120870 | 2019 | ?
Curral de Dentro | 3120870 | 2020 | 25.310000000000002
Datas | 3121001 | 2015 | ?
Datas | 3121001 | 2016 | 17.69666666666667
Datas | 3121001 | 2017 | 33.333333333333336
Datas | 3121001 | 2018 | ?
Datas | 3121001 | 2019 | 33.333333333333336
Datas | 3121001 | 2020 | 33.333333333333336
Delfim Moreira | 3121100 | 2015 | 66.66666666666667
Delfim Moreira | 3121100 | 2016 | 66.66666666666667
Delfim Moreira | 3121100 | 2017 | 66.66666666666667
Delfim Moreira | 3121100 | 2018 | 66.66666666666667
Delfim Moreira | 3121100 | 2019 | 33.333333333333336
Delfim Moreira | 3121100 | 2020 | 33.333333333333336
Delfinópolis | 3121209 | 2015 | 33.333333333333336
Delfinópolis | 3121209 | 2016 | 33.333333333333336
Delfinópolis | 3121209 | 2017 | ?
Delfinópolis | 3121209 | 2018 | ?
Delfinópolis | 3121209 | 2019 | 90.07666666666667
Delfinópolis | 3121209 | 2020 | 90.23666666666666
Delta | 3121258 | 2015 | 33.333333333333336
Delta | 3121258 | 2016 | 33.333333333333336
Delta | 3121258 | 2017 | 33.333333333333336
Delta | 3121258 | 2018 | 33.333333333333336
