MunicipioNome | MunicipioCodigo | Ano | IAB
Bertópolis | 3106606 | 2020 | 50.265136096632745
Erros | 3106804 | 2015 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Bias Fortes | 3106804 | 2015 | ?
Erros | 3106804 | 2016 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Bias Fortes | 3106804 | 2016 | ?
Erros | 3106804 | 2017 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Bias Fortes | 3106804 | 2017 | ?
Bias Fortes | 3106804 | 2018 | 64.95238095238095
Bias Fortes | 3106804 | 2019 | 66.66666666666667
Bias Fortes | 3106804 | 2020 | 64.28571428571428
Erros | 3107208 | 2015 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Bocaina de Minas | 3107208 | 2015 | ?
Erros | 3107208 | 2016 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Bocaina de Minas | 3107208 | 2016 | ?
Erros | 3107208 | 2017 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Bocaina de Minas | 3107208 | 2017 | ?
Erros | 3107208 | 2018 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Bocaina de Minas | 3107208 | 2018 | ?
Erros | 3107208 | 2019 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Bocaina de Minas | 3107208 | 2019 | ?
Bocaina de Minas | 3107208 | 2020 | 31.07037037037037
Bom Jesus da Penha | 3107604 | 2015 | 88.37920489296637
Bom Jesus da Penha | 3107604 | 2016 | 87.3931623931624
Bom Jesus da Penha | 3107604 | 2017 | 76.73758865248227
Bom Jesus da Penha | 3107604 | 2018 | 66.66666666666667
Bom Jesus da Penha | 3107604 | 2019 | 66.78073394495414
Bom Jesus da Penha | 3107604 | 2020 | 66.36666666666666
Bom Repouso | 3107901 | 2015 | 68.06792685071214
Bom Repouso | 3107901 | 2016 | 69.35177304964539
Bom Repouso | 3107901 | 2017 | 69.98078067356896
Bom Repouso | 3107901 | 2018 | 69.17464686707714
Bom Repouso | 3107901 | 2019 | 64.37609336052572
Bom Repouso | 3107901 | 2020 | 66.28155467720686
Bonito de Minas | 3108255 | 2015 | 60.01838235294118
Bonito de Minas | 3108255 | 2016 | 59.865196078431374
Bonito de Minas | 3108255 | 2017 | 55.85106382978723
Bonito de Minas | 3108255 | 2018 | 60.005156537753216
Bonito de Minas | 3108255 | 2019 | 59.13608562691132
Bonito de Minas | 3108255 | 2020 | 59.2062271062271
Borda da Mata | 3108305 | 2015 | 64.40193092465411
Borda da Mata | 3108305 | 2016 | 64.58971193415637
Borda da Mata | 3108305 | 2017 | 68.15029511715257
Borda da Mata | 3108305 | 2018 | 68.12673992673992
Borda da Mata | 3108305 | 2019 | 65.51950091427342
Borda da Mata | 3108305 | 2020 | 63.9611491454942
Botelhos | 3108404 | 2015 | 68.56358881512774
Botelhos | 3108404 | 2016 | 68.09943160571386
Botelhos | 3108404 | 2017 | 66.02725335711807
Botelhos | 3108404 | 2018 | 67.09777377557657
Botelhos | 3108404 | 2019 | 66.25313610652249
Botelhos | 3108404 | 2020 | 66.21615301829566
Botumirim | 3108503 | 2015 | 71.19806763285025
Botumirim | 3108503 | 2016 | 62.10512820512821
Botumirim | 3108503 | 2017 | 34.2107508850382
Botumirim | 3108503 | 2018 | 39.735170865552504
Botumirim | 3108503 | 2019 | 39.500775193798454
Botumirim | 3108503 | 2020 | 59.14855072463768
Cachoeira da Prata | 3109600 | 2015 | 49.37301587301587
Cachoeira da Prata | 3109600 | 2016 | 47.67301587301588
Cachoeira da Prata | 3109600 | 2017 | 49.1063492063492
Cachoeira da Prata | 3109600 | 2018 | 61.77777777777778
Cachoeira da Prata | 3109600 | 2019 | 53.03333333333333
Cachoeira da Prata | 3109600 | 2020 | 53.13333333333333
Cachoeira de Minas | 3109709 | 2015 | 68.64232804232803
Cachoeira de Minas | 3109709 | 2016 | 69.78373871201636
Cachoeira de Minas | 3109709 | 2017 | 66.18089990817263
Cachoeira de Minas | 3109709 | 2018 | 67.7180769463067
Cachoeira de Minas | 3109709 | 2019 | 68.29259520866442
Cachoeira de Minas | 3109709 | 2020 | 69.37408073214577
Caiana | 3110103 | 2015 | 74.46156394963553
Caiana | 3110103 | 2016 | 62.79909706546275
Caiana | 3110103 | 2017 | 52.95724847315976
Caiana | 3110103 | 2018 | 50.61921644811397
Caiana | 3110103 | 2019 | 59.193301687763714
Caiana | 3110103 | 2020 | 61.9449575600633
Caldas | 3110301 | 2015 | 68.59761035213491
Caldas | 3110301 | 2016 | 63.7218544451517
Caldas | 3110301 | 2017 | 67.16637791012452
Caldas | 3110301 | 2018 | 67.7192660173427
Caldas | 3110301 | 2019 | 67.26360677083333
Caldas | 3110301 | 2020 | 67.5194929932294
Camacho | 3110400 | 2015 | 59.68807339449541
Camacho | 3110400 | 2016 | 58.31192660550459
Camacho | 3110400 | 2017 | 72.93647394718057
Camacho | 3110400 | 2018 | 61.73700305810397
Camacho | 3110400 | 2019 | 54.159021406727824
Camacho | 3110400 | 2020 | 53.44932844932845
Cambuquira | 3110707 | 2015 | 62.436963128619766
Cambuquira | 3110707 | 2016 | 64.88316831683169
Cambuquira | 3110707 | 2017 | 64.47692204165405
Cambuquira | 3110707 | 2018 | 62.94313686578024
Cambuquira | 3110707 | 2019 | 62.78430193720775
Cambuquira | 3110707 | 2020 | 62.77610221282026
Campanha | 3110905 | 2015 | 64.93196248196249
Campanha | 3110905 | 2016 | 64.47917393833625
Campanha | 3110905 | 2017 | 64.47724937619257
Campanha | 3110905 | 2018 | 66.39784438144098
Campanha | 3110905 | 2019 | 66.07823483467847
Campanha | 3110905 | 2020 | 67.21666666666665
Campina Verde | 3111101 | 2015 | 65.7651344590369
Campina Verde | 3111101 | 2016 | 65.9042289435487
Campina Verde | 3111101 | 2017 | 65.42707834264928
Campina Verde | 3111101 | 2018 | 64.86589524969548
Campina Verde | 3111101 | 2019 | 65.80141061024226
Campina Verde | 3111101 | 2020 | 66.10544759228908
Campo do Meio | 3111309 | 2015 | 66.11296296296297
Campo do Meio | 3111309 | 2016 | 66.38738738738739
Campo do Meio | 3111309 | 2017 | 66.44414414414415
Campo do Meio | 3111309 | 2018 | 65.96858638743456
Campo do Meio | 3111309 | 2019 | 65.94571670907548
Campo do Meio | 3111309 | 2020 | 61.482838283828386
Campo Florido | 3111408 | 2015 | 66.3
Campo Florido | 3111408 | 2016 | 65.93333333333334
Campo Florido | 3111408 | 2017 | 66.22988505747126
Campo Florido | 3111408 | 2018 | 65.74423407917384
Campo Florido | 3111408 | 2019 | 66.23270223752151
Campo Florido | 3111408 | 2020 | 67.19518900343643
Canaã | 3111705 | 2015 | 84.99177552007741
Canaã | 3111705 | 2016 | 77.68650217706822
Canaã | 3111705 | 2017 | 89.88416512630931
Canaã | 3111705 | 2018 | 95.25382262996942
Canaã | 3111705 | 2019 | 94.15902140672783
Canaã | 3111705 | 2020 | 91.17826617826618
Cana Verde | 3111903 | 2015 | 74.24189312723344
Cana Verde | 3111903 | 2016 | 72.53268719118206
Cana Verde | 3111903 | 2017 | 73.94214876033057
Cana Verde | 3111903 | 2018 | 72.04159077109897
Cana Verde | 3111903 | 2019 | 73.38816199376947
Cana Verde | 3111903 | 2020 | 73.96720702465383
Caparaó | 3112109 | 2015 | 51.382796792047905
Caparaó | 3112109 | 2016 | 58.764721517458014
Caparaó | 3112109 | 2017 | 67.26779533483823
Caparaó | 3112109 | 2018 | 60.69478304489591
Caparaó | 3112109 | 2019 | 60.243219666931004
Caparaó | 3112109 | 2020 | 59.329287235375176
Capetinga | 3112406 | 2015 | 69.95181483429774
Capetinga | 3112406 | 2016 | 69.35564024390244
Capetinga | 3112406 | 2017 | 66.42221337579618
Capetinga | 3112406 | 2018 | 67.09452572292054
Capetinga | 3112406 | 2019 | 66.78602590320382
Capetinga | 3112406 | 2020 | 66.91301833394857
Erros | 3112505 | 2015 | [snisModel.QD019, snisModel.QD020, snisModel.QD028]
Capim Branco | 3112505 | 2015 | ?
Erros | 3112505 | 2016 | [snisModel.QD019, snisModel.QD020, snisModel.QD028]
Capim Branco | 3112505 | 2016 | ?
Erros | 3112505 | 2017 | [snisModel.QD019, snisModel.QD020, snisModel.QD028]
Capim Branco | 3112505 | 2017 | ?
Capim Branco | 3112505 | 2018 | 40.64059651736
Capim Branco | 3112505 | 2019 | 41.91618071131048
Capim Branco | 3112505 | 2020 | 43.97105951260329
Caputira | 3112901 | 2015 | 54.099025824832275
Caputira | 3112901 | 2016 | 58.261727258782024
Caputira | 3112901 | 2017 | 54.69399477806788
Caputira | 3112901 | 2018 | 54.28121617319325
Caputira | 3112901 | 2019 | 55.266723397357964
Caputira | 3112901 | 2020 | 56.13496015117903
Erros | 3113107 | 2015 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Caranaíba | 3113107 | 2015 | ?
Caranaíba | 3113107 | 2016 | 33.9
Caranaíba | 3113107 | 2017 | 45.11111111111111
