MunicipioNome | MunicipioCodigo | Ano | IRH
Borda da Mata | 3108305 | 2019 | 77.58500000000001
Borda da Mata | 3108305 | 2020 | 74.405
Botelhos | 3108404 | 2015 | 78.405
Botelhos | 3108404 | 2016 | 77.26
Botelhos | 3108404 | 2017 | 77.325
Botelhos | 3108404 | 2018 | 76.97
Botelhos | 3108404 | 2019 | 77.19
Botelhos | 3108404 | 2020 | 76.14
Botumirim | 3108503 | 2015 | 81.86
Botumirim | 3108503 | 2016 | 81.28999999999999
Botumirim | 3108503 | 2017 | 81.56
Botumirim | 3108503 | 2018 | 80.695
Botumirim | 3108503 | 2019 | 80.91499999999999
Botumirim | 3108503 | 2020 | 79.9
Cachoeira da Prata | 3109600 | 2015 | 77.93
Cachoeira da Prata | 3109600 | 2016 | 27.045
Cachoeira da Prata | 3109600 | 2017 | 26.985
Cachoeira da Prata | 3109600 | 2018 | 77.53
Cachoeira da Prata | 3109600 | 2019 | 77.135
Cachoeira da Prata | 3109600 | 2020 | 77.115
Cachoeira de Minas | 3109709 | 2015 | 78.405
Cachoeira de Minas | 3109709 | 2016 | 78.445
Cachoeira de Minas | 3109709 | 2017 | 77.995
Cachoeira de Minas | 3109709 | 2018 | 77.74
Cachoeira de Minas | 3109709 | 2019 | 77.58500000000001
Cachoeira de Minas | 3109709 | 2020 | 74.405
Caiana | 3110103 | 2015 | 76.96000000000001
Caiana | 3110103 | 2016 | 77.66
Caiana | 3110103 | 2017 | 78.185
Caiana | 3110103 | 2018 | 77.08500000000001
Caiana | 3110103 | 2019 | 76.435
Caiana | 3110103 | 2020 | 76.61
Caldas | 3110301 | 2015 | 78.405
Caldas | 3110301 | 2016 | 77.26
Caldas | 3110301 | 2017 | 77.325
Caldas | 3110301 | 2018 | 76.97
Caldas | 3110301 | 2019 | 77.19
Caldas | 3110301 | 2020 | 76.14
Camacho | 3110400 | 2015 | 78.405
Camacho | 3110400 | 2016 | 77.3
Camacho | 3110400 | 2017 | 77.875
Camacho | 3110400 | 2018 | 78.08500000000001
Camacho | 3110400 | 2019 | 77.525
Camacho | 3110400 | 2020 | 77.03
Cambuquira | 3110707 | 2015 | 78.405
Cambuquira | 3110707 | 2016 | 79.305
Cambuquira | 3110707 | 2017 | 78.19
Cambuquira | 3110707 | 2018 | 78.12
Cambuquira | 3110707 | 2019 | 78.235
Cambuquira | 3110707 | 2020 | 77.645
Campanha | 3110905 | 2015 | 78.405
Campanha | 3110905 | 2016 | 79.305
Campanha | 3110905 | 2017 | 78.19
Campanha | 3110905 | 2018 | 78.12
Campanha | 3110905 | 2019 | 78.235
Campanha | 3110905 | 2020 | 77.645
Campina Verde | 3111101 | 2015 | 78.405
Campina Verde | 3111101 | 2016 | 77.305
Campina Verde | 3111101 | 2017 | 76.77
Campina Verde | 3111101 | 2018 | 76.73
Campina Verde | 3111101 | 2019 | 78.13
Campina Verde | 3111101 | 2020 | 78.115
Campo do Meio | 3111309 | 2015 | 78.405
Campo do Meio | 3111309 | 2016 | 77.3
Campo do Meio | 3111309 | 2017 | 77.875
Campo do Meio | 3111309 | 2018 | 78.08500000000001
Campo do Meio | 3111309 | 2019 | 77.525
Campo do Meio | 3111309 | 2020 | 77.03
Campo Florido | 3111408 | 2015 | 78.405
Campo Florido | 3111408 | 2016 | 77.305
Campo Florido | 3111408 | 2017 | 76.77
Campo Florido | 3111408 | 2018 | 76.73
Campo Florido | 3111408 | 2019 | 78.13
Campo Florido | 3111408 | 2020 | 78.115
Canaã | 3111705 | 2015 | 79.97
Canaã | 3111705 | 2016 | 78.825
Canaã | 3111705 | 2017 | 78.66
Canaã | 3111705 | 2018 | 78.57
Canaã | 3111705 | 2019 | 79.215
Canaã | 3111705 | 2020 | 78.545
Cana Verde | 3111903 | 2015 | 78.405
Cana Verde | 3111903 | 2016 | 77.3
Cana Verde | 3111903 | 2017 | 77.875
Cana Verde | 3111903 | 2018 | 78.08500000000001
Cana Verde | 3111903 | 2019 | 77.525
Cana Verde | 3111903 | 2020 | 77.03
Caparaó | 3112109 | 2015 | 76.96000000000001
Caparaó | 3112109 | 2016 | 77.66
Caparaó | 3112109 | 2017 | 78.185
Caparaó | 3112109 | 2018 | 77.08500000000001
Caparaó | 3112109 | 2019 | 76.435
Caparaó | 3112109 | 2020 | 76.61
Capetinga | 3112406 | 2015 | 78.405
