MunicipioNome | MunicipioCodigo | Ano | IRS
Borda da Mata | 3108305 | 2015 | ?
Borda da Mata | 3108305 | 2016 | ?
Borda da Mata | 3108305 | 2017 | ?
Borda da Mata | 3108305 | 2018 | ?
Borda da Mata | 3108305 | 2019 | ?
Borda da Mata | 3108305 | 2020 | ?
Botelhos | 3108404 | 2015 | 33.123333333333335
Botelhos | 3108404 | 2016 | 33.333333333333336
Botelhos | 3108404 | 2017 | 32.46
Botelhos | 3108404 | 2018 | ?
Botelhos | 3108404 | 2019 | 33.333333333333336
Botelhos | 3108404 | 2020 | 33.333333333333336
Botumirim | 3108503 | 2015 | 33.333333333333336
Botumirim | 3108503 | 2016 | 33.333333333333336
Botumirim | 3108503 | 2017 | 33.333333333333336
Botumirim | 3108503 | 2018 | 33.333333333333336
Botumirim | 3108503 | 2019 | ?
Botumirim | 3108503 | 2020 | 33.333333333333336
Cachoeira da Prata | 3109600 | 2015 | 49.85999999999999
Cachoeira da Prata | 3109600 | 2016 | ?
Cachoeira da Prata | 3109600 | 2017 | ?
Cachoeira da Prata | 3109600 | 2018 | ?
Cachoeira da Prata | 3109600 | 2019 | 59.24333333333334
Cachoeira da Prata | 3109600 | 2020 | 59.35666666666666
Cachoeira de Minas | 3109709 | 2015 | ?
Cachoeira de Minas | 3109709 | 2016 | ?
Cachoeira de Minas | 3109709 | 2017 | ?
Cachoeira de Minas | 3109709 | 2018 | ?
Cachoeira de Minas | 3109709 | 2019 | ?
Cachoeira de Minas | 3109709 | 2020 | ?
Caiana | 3110103 | 2015 | 33.333333333333336
Caiana | 3110103 | 2016 | ?
Caiana | 3110103 | 2017 | ?
Caiana | 3110103 | 2018 | ?
Caiana | 3110103 | 2019 | 33.333333333333336
Caiana | 3110103 | 2020 | 33.333333333333336
Caldas | 3110301 | 2015 | 33.333333333333336
Caldas | 3110301 | 2016 | ?
Caldas | 3110301 | 2017 | ?
Caldas | 3110301 | 2018 | ?
Caldas | 3110301 | 2019 | ?
Caldas | 3110301 | 2020 | ?
Camacho | 3110400 | 2015 | ?
Camacho | 3110400 | 2016 | ?
